,Date,Close/Last,Volume,Open,High,Low,Weekly_Rolling_Std
0,2024-05-03,183.38,163224100,186.65,187.0,182.66,
1,2024-05-02,173.03,94214920,172.51,173.42,170.89,
2,2024-05-01,169.3,50383150,169.58,172.71,169.11,
3,2024-04-30,170.33,65934780,173.33,174.99,170.0,
4,2024-04-29,173.5,68169420,173.37,176.03,173.1,6.646541958041034
5,2024-04-26,169.3,44838350,169.88,171.34,169.18,1.8643309791987197
6,2024-04-25,169.89,50558330,169.53,170.61,168.15,2.023751466954398
7,2024-04-24,169.02,48251840,166.54,169.3,166.21,2.883062607714253
8,2024-04-23,166.9,49537760,165.35,167.05,164.92,3.1426310632971335
9,2024-04-22,165.84,48116440,165.52,167.26,164.77,2.1884537920641667
10,2024-04-19,165.0,68149380,166.21,166.4,164.08,1.6930002953337169
11,2024-04-18,167.04,43122900,168.03,168.64,166.55,1.0682930309611103
12,2024-04-17,168.0,50901210,169.61,170.65,168.0,1.829912566217322
13,2024-04-16,169.38,73711240,171.75,173.76,168.27,2.537672161647362
14,2024-04-15,172.69,73531770,175.36,176.63,172.5,3.535706435777709
15,2024-04-12,176.55,101670900,174.26,178.36,174.21,3.071509400929735
16,2024-04-11,175.04,91070280,168.34,175.46,168.16,2.978041302601383
17,2024-04-10,167.78,49709340,168.8,169.09,167.11,3.148463117141403
18,2024-04-09,169.67,42451210,168.7,170.08,168.35,3.4205438164127995
19,2024-04-08,169.67,37425510,169.03,169.2,168.24,2.491120229936706
20,2024-04-05,169.58,42104830,169.59,170.39,168.95,0.46267699316043925
21,2024-04-04,168.82,53704390,170.29,171.92,168.82,0.6605830757746997
22,2024-04-03,169.65,47691720,168.79,170.68,168.58,0.6624198064671424
23,2024-04-02,168.84,49329480,169.08,169.34,168.23,0.5978963120809173
24,2024-04-01,170.03,46240500,171.19,171.25,169.48,0.9687724190953935
25,2024-03-28,171.48,65672690,171.75,172.23,170.51,1.2875558240324723
26,2024-03-27,173.31,60273270,170.41,173.6,170.11,1.2903022901630217
27,2024-03-26,169.71,57388450,170.0,171.42,169.58,1.0382822352327574
28,2024-03-25,170.85,54288330,170.57,171.94,169.45,0.6888976701948738
29,2024-03-22,172.28,71160140,171.76,173.05,170.06,0.8094874921825003
30,2024-03-21,171.37,106181300,177.05,177.49,170.84,2.9207995480689664
31,2024-03-20,178.67,53423100,175.72,178.67,175.09,3.1718054795336714
32,2024-03-19,176.08,55215240,174.34,176.61,173.03,2.6970483866626878
33,2024-03-18,173.72,75604180,175.57,177.71,173.52,1.9947606372694906
34,2024-03-15,172.62,121752700,171.17,172.62,170.29,2.2296748641898
35,2024-03-14,173.0,72913510,172.91,174.31,172.05,1.9182726604942826
36,2024-03-13,171.13,52488690,172.77,173.19,170.76,1.6726386340150752
37,2024-03-12,173.23,59825370,173.15,174.03,171.01,1.5789490175429415
38,2024-03-11,172.75,60139470,172.94,174.38,172.05,0.804251204537384
39,2024-03-08,170.73,76267040,169.0,173.7,168.94,1.7683693053205318
40,2024-03-07,169.0,71765060,169.15,170.73,168.49,2.129171200256059
41,2024-03-06,169.12,68587710,171.06,171.24,168.68,1.987095870862759
42,2024-03-05,170.12,95132360,170.76,172.04,169.62,1.6104098857122735
43,2024-03-04,175.1,81510100,176.15,176.9,173.79,2.9049664369833605
44,2024-03-01,179.66,73563080,179.55,180.53,177.38,4.35519574760994
45,2024-02-29,180.75,136682600,181.27,182.57,179.53,4.794952554509743
46,2024-02-28,181.42,48953940,182.51,183.12,180.13,4.723983488540071
47,2024-02-27,182.63,54318850,181.1,183.92,179.56,2.4536055102642127
48,2024-02-26,181.16,40867420,182.24,182.76,180.65,1.1667604724187435
49,2024-02-23,182.52,45119680,185.01,185.04,182.23,1.566310952524672
50,2024-02-22,184.37,52292210,183.48,184.96,182.46,1.4672320879801952
51,2024-02-21,182.32,41529670,181.94,182.89,180.66,1.523082400922133
52,2024-02-20,181.56,53665550,181.79,182.43,180.0,1.3580758447151342
53,2024-02-16,182.31,49752470,183.42,184.85,181.67,1.3183967536362913
54,2024-02-15,183.86,65434500,183.55,184.49,181.35,0.8891737737915686
55,2024-02-14,184.15,54630520,185.32,185.53,182.44,1.4353501315005786
56,2024-02-13,185.04,56529530,185.77,186.21,183.51,1.6041976187486149
57,2024-02-12,187.15,41781930,188.42,188.67,186.79,2.0342394156044468
58,2024-02-09,188.85,45155220,188.65,189.99,188.0,2.168633210111554
59,2024-02-08,188.32,40962050,189.39,189.54,187.35,1.8361508652610292
60,2024-02-07,189.41,53438960,190.64,191.05,188.61,1.790678642302664
61,2024-02-06,189.3,43490760,186.86,189.31,186.77,1.384185681185493
62,2024-02-05,187.68,69668820,188.15,189.25,185.84,1.407398308937075
